"","D367T01","D367T02","D367T03","D367T07","D367T08","D367T09","D367T13","D367T14","D367T15","D367T19","D367T20","D367T21","D367T25","D367T26","D367T27"
"ENSG00000236266",4,1,3,9,7,2,2,0,0,6,0,1,5,0,3
"ENSG00000049247",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000049249",56,927,894,24,410,437,19,616,385,50,1097,1350,309,1656,1104
"ENSG00000270330",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000116288",2544,1536,1493,2412,1395,1303,2758,1006,528,3264,1530,1609,5227,1326,1076
"ENSG00000200344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284747",1,3,4,7,13,11,5,3,12,4,3,4,7,6,8
"ENSG00000284716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116285",37,29,31,35,19,26,41,21,15,36,53,56,64,34,20
"ENSG00000238290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162426",0,0,0,6,1,0,4,0,0,6,1,0,5,2,0
"ENSG00000252254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142599",970,3203,4126,1592,3514,3587,1527,2263,1873,1517,3534,4276,1739,3042,3185
"ENSG00000232912",1,24,27,4,38,38,1,19,15,0,23,29,1,29,28
"ENSG00000221083",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234619",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000074800",29622,28397,65701,24024,22528,32650,26645,14027,18262,33885,23522,50508,64308,20492,36564
"ENSG00000274258",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
